what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266105296
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1354266105296
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1354266126328
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354266233078
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1354266248062
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354266341609
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354266342843
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1354266359593
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1354266364015
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266367015
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266387421
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1354266395984
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266410750
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1354266423453
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1354266441593
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1354266471562
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266487171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266496203
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266500203
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266501171
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266502484
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266505031
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266509750
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1354266509765
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266528109
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266541625
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266545062
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266545656
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266546562
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266547203
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266547500
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266548187
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266549187
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266549812
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1354266550671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266552562
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266595906
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266596750
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266620343
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266621734
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266623390
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1354266623421
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1354266628968
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266631562
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266643546
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1354266651703
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266651703
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1354266673562
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266686828
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1354266686828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1354266706921
activated,view,com.altera.sbtgui.launch,11.1.0.259,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1354266711218
